model_name,target,train_r2,train_mse,train_rmse,test_r2,test_mse,test_rmse
5-parameter CY,eta_inf,0.8522746013115473,0.6281230643973632,0.7925421530728591,0.7508574818691479,0.8788942524382063,0.9374936012785401
Williamson,eta_inf,0.9304140764904083,0.3586163646374642,0.5988458604995648,0.7430935214525026,1.312394881018817,1.1455980451357348
Power Law,k_consistency,0.8127929989010144,705.7659530287734,26.566255909118496,0.6160034455194825,1357.4071539797192,36.84300685312912
Sisko,k_sisko,0.806063204887372,748.5743454619395,27.360086722485722,0.5640242838357203,1577.0622790829632,39.71224344056834
Power Law,n_flow,0.7365985659084875,0.007998797908621784,0.08943599895244522,0.3074306257056242,0.024340656087027332,0.15601492264212208
Constrained CY,n,0.734014846979655,0.007250740248165686,0.0851512786055834,0.29797525306855377,0.02271369152870683,0.15071062181779635
Constrained CY,eta_0,0.4449926891225128,41848.85055708041,204.5699160606965,0.27585026534943835,49876.83661313377,223.33122623836948
5-parameter CY,eta_0,0.4017486761322001,44715.82721436044,211.46117188354094,0.2225560235984062,67019.59893651026,258.8814379914293
Williamson,n_w,0.420622328958539,0.024990389937400954,0.15808349040111985,0.17106108219503768,0.03760409805113464,0.19391776105126277
Williamson,eta_0,0.36420863211105636,53043.275578182234,230.31125803612431,0.15545959159235323,83049.81723747804,288.18365192612515
5-parameter CY,n,0.33409207298090593,0.026926971643851088,0.1640943985754879,0.1489162148866885,0.034434197848804575,0.18556453823078528
Sisko,n_sisko,0.4076397745868964,0.020966771071755562,0.14479907137739373,0.14066421382146,0.036080802767781854,0.1899494742498169
Constrained CY,lambda_time,0.7168362821568721,4.62799074001097,2.1512765373170812,0.06992411835276258,12.385188320053476,3.51925962669046
5-parameter CY,lambda_time,0.3365787150170989,4.635564533267472,2.1530361198241597,0.03717161467984642,6.563313332777756,2.5618964328750207
Williamson,lambda_time,0.24798221898707895,3.9945818332635508,1.9986449993091697,-0.05859595922495808,9.572411772316851,3.0939314427305677
Sisko,eta_inf_sisko,0.7864501977084081,0.04140739146157482,0.20348806220900237,-0.21883657996766437,0.20665478059698061,0.4545929834445101
5-parameter CY,a,0.7575398287108042,0.08095564118203714,0.2845270482432859,-0.25378358534122114,0.4375843305348259,0.6615015725868125
